Date : 2023-02-24 09:02:53
Directory : d:\sw\VUE\vue3\sn-blog\src
Total : 141 files,  7968 codes, 811 comments, 962 blanks, all 9741 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         73 |      5,533 |         56 |        633 |      6,222 |
| TypeScript |         63 |      2,266 |        690 |        273 |      3,229 |
| SCSS       |          2 |        157 |         65 |         53 |        275 |
| XML        |          3 |         12 |          0 |          3 |         15 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\sw\VUE\vue3\sn-blog\src\hooks\data.ts                                                  | TypeScript |          6 |         13 |          2 |         21 |
| d:\sw\VUE\vue3\sn-blog\src\hooks\routers.ts                                               | TypeScript |         37 |         20 |          8 |         65 |
| d:\sw\VUE\vue3\sn-blog\src\hooks\useRandom.ts                                             | TypeScript |         16 |          7 |          3 |         26 |
| d:\sw\VUE\vue3\sn-blog\src\main.ts                                                        | TypeScript |         49 |         23 |         12 |         84 |
| d:\sw\VUE\vue3\sn-blog\src\router\data.ts                                                 | TypeScript |         14 |         35 |          3 |         52 |
| d:\sw\VUE\vue3\sn-blog\src\router\index.ts                                                | TypeScript |        271 |         14 |          6 |        291 |
| d:\sw\VUE\vue3\sn-blog\src\store\pinia.ts                                                 | TypeScript |         11 |          4 |          2 |         17 |
| d:\sw\VUE\vue3\sn-blog\src\utils\common\dethrottle.ts                                     | TypeScript |         23 |         10 |          3 |         36 |
| d:\sw\VUE\vue3\sn-blog\src\utils\common\directive.ts                                      | TypeScript |         67 |          7 |         15 |         89 |
| d:\sw\VUE\vue3\sn-blog\src\utils\common\tool.ts                                           | TypeScript |         24 |         15 |          4 |         43 |
| d:\sw\VUE\vue3\sn-blog\src\utils\common\useCurrentInstance.ts                             | TypeScript |          8 |          0 |          2 |         10 |
| d:\sw\VUE\vue3\sn-blog\src\utils\http\axios.ts                                            | TypeScript |        104 |         16 |          8 |        128 |
| d:\sw\VUE\vue3\sn-blog\src\utils\http\funApi.ts                                           | TypeScript |         89 |         23 |          9 |        121 |
| d:\sw\VUE\vue3\sn-blog\src\utils\http\pending.ts                                          | TypeScript |         26 |         18 |          2 |         46 |
| d:\sw\VUE\vue3\sn-blog\src\utils\storage\storage.ts                                       | TypeScript |         30 |         19 |          2 |         51 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\article\ArticleAdd.vue                             | Vue        |         87 |          0 |          5 |         92 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\article\ArticleEdit.vue                            | Vue        |         79 |          0 |          5 |         84 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\article\ArticleTable.vue                           | Vue        |        116 |          0 |          3 |        119 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\article\data.ts                                    | TypeScript |         66 |          0 |          6 |         72 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\article\tag\ArticleTagTable.vue                    | Vue        |         72 |          0 |          5 |         77 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\article\tag\a-articleTag-add.vue                   | Vue        |         30 |          1 |          2 |         33 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\article\tag\a-articleTag-edit.vue                  | Vue        |         30 |          1 |          2 |         33 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\article\tag\data.ts                                | TypeScript |         34 |          0 |          3 |         37 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\article\type\ArticleTypeTable.vue                  | Vue        |         72 |          0 |          5 |         77 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\article\type\a-articleType-add.vue                 | Vue        |         30 |          1 |          2 |         33 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\article\type\a-articleType-edit.vue                | Vue        |         30 |          1 |          2 |         33 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\article\type\data.ts                               | TypeScript |         34 |          0 |          3 |         37 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\data.ts                                            | TypeScript |         36 |          7 |          4 |         47 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\index.vue                                          | Vue        |        150 |          9 |          5 |        164 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\login\Login.vue                                    | Vue        |         92 |          0 |         11 |        103 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\navigation\NavAdd.vue                              | Vue        |         76 |          0 |          8 |         84 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\navigation\NavEdit.vue                             | Vue        |         87 |          0 |          8 |         95 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\navigation\NavigationTable.vue                     | Vue        |        110 |          0 |          8 |        118 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\navigation\data.ts                                 | TypeScript |         61 |          0 |          4 |         65 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\set\InterfaceTable.vue                             | Vue        |        199 |          0 |          9 |        208 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\set\data.ts                                        | TypeScript |         53 |          0 |          3 |         56 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\snippet\SnippetTable.vue                           | Vue        |        160 |          0 |         11 |        171 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\snippet\a-snippet-add.vue                          | Vue        |         82 |          0 |          4 |         86 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\snippet\a-snippet-edit.vue                         | Vue        |         82 |          0 |          3 |         85 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\snippet\data.ts                                    | TypeScript |         58 |          0 |          4 |         62 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\sql\SqlBackups.vue                                 | Vue        |         15 |          0 |          2 |         17 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\user\UserEditModal.vue                             | Vue        |         66 |          0 |          4 |         70 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\user\UserTable.vue                                 | Vue        |        100 |          0 |          4 |        104 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\user\data.ts                                       | TypeScript |         81 |          1 |          3 |         85 |
| d:\sw\VUE\vue3\sn-blog\src\views\admin\utils\data.ts                                      | TypeScript |          8 |          0 |          1 |          9 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\article2\components\Article2Content.vue             | Vue        |         45 |          0 |          4 |         49 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\article2\components\Article2Search.vue              | Vue        |         29 |          0 |          3 |         32 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\article2\components\content\Article2ContentSide.vue | Vue        |         53 |          0 |          8 |         61 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\article2\components\data.ts                         | TypeScript |          2 |          0 |          1 |          3 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\article2\components\sidebar\Article2SideLb.vue      | Vue        |         62 |          0 |          5 |         67 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\article2\data.ts                                    | TypeScript |          2 |          0 |          2 |          4 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\article2\index.vue                                  | Vue        |         44 |          0 |          2 |         46 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\article\Index.vue                                   | Vue        |        114 |          2 |          7 |        123 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\article\components\ArticleColumn.vue                | Vue        |        125 |          0 |         15 |        140 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\article\components\ArticleContent.vue               | Vue        |         97 |          0 |         12 |        109 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\article\components\content\mdContent.vue            | Vue        |         19 |          0 |          3 |         22 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\article\components\sidebar\Annunciate.vue           | Vue        |         23 |          0 |          2 |         25 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\article\components\sidebar\ArticleSideInput.vue     | Vue        |         33 |          0 |          2 |         35 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\article\components\sidebar\ArticleSideSearch.vue    | Vue        |         31 |          1 |          3 |         35 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\article\components\sidebar\Tool.vue                 | Vue        |         44 |          0 |          4 |         48 |
| d:\sw\VUE\vue3\sn-blog\src\views\page\article\data.ts                                     | TypeScript |          3 |          0 |          2 |          5 |
